CODEX,CODASS,NF
247426,240012,4.0
244339,240012,5.5
245218,240012,7.0
245516,240012,5.9
246370,240012,7.2
246767,240012,5.0
243050,240012,7.2
245674,240012,5.9
243543,240012,5.1
243536,240012,5.7
243582,240011,6.9
246151,240011,4.6
245373,240011,8.2
244391,240011,6.0
245176,240012,7.4
245308,240012,7.5
243999,240012,7.9
245344,240012,7.0
247256,240012,7.0
246807,240012,8.0
246733,240012,4.6
244012,240012,5.0
243538,240012,4.2
243205,240011,7.1
244377,240011,4.5
245675,240011,6.4
243124,240011,5.6
245407,240011,6.7
245986,240011,7.0
245635,240011,6.2
245307,240012,8.1
245418,240012,6.1
244458,240012,6.6
250259,240012,5.0
250480,240012,7.3
244530,240012,5.5
252422,240012,4.4
250343,240012,5.9
245591,240012,4.4
227703,240022,7.4
228021,240022,6.4
232679,240022,5.2
230878,240022,6.6
248338,240012,7.0
228268,240025,6.2
228488,240025,8.6
232295,240025,6.4
232335,240025,6.9
243536,240011,5.8
247859,240011,10.0
244262,240011,4.5
245654,240011,6.0
246397,240011,6.1
248927,240011,5.1
227369,240011,7.2
226684,240025,5.0
245619,240012,7.4
246237,240012,7.6
244117,240012,5.2
246899,240012,7.8
244194,240012,5.3
244533,240012,7.0
243442,240012,4.3
231441,240012,6.0
244483,240012,5.4
245209,240012,9.5
244235,240012,8.7
245377,240012,6.6
244905,240012,6.8
245516,240011,6.3
226798,240022,7.3
228099,240022,7.5
245810,240011,6.7
228629,240011,6.1
245929,240011,6.3
246361,240011,6.8
244535,240011,7.6
227601,240022,5.0
227908,240022,2.5
239844,240022,5.0
228459,240022,5.5
227091,240025,5.9
227125,240022,7.1
232333,240022,6.0
228382,240022,6.6
233021,240025,6.3
227829,240025,2.8
246718,240025,0.8
227383,240025,7.7
231202,240025,5.4
227129,240025,6.6
226684,240022,6.1
228268,240022,3.7
228055,240022,7.0
244090,240011,6.7
244364,240011,5.9
227123,240025,3.8
245017,240012,7.4
246091,240011,8.1
243759,240012,7.8
245181,240012,6.3
244060,240012,6.5
245307,240011,6.9
246095,240011,4.4
245737,240011,5.6
245406,240011,5.0
245603,240011,3.3
247426,240011,4.1
244379,240012,8.3
245168,240011,5.4
239845,240011,3.6
245405,240011,6.7
243702,240011,5.6
248339,240011,7.3
250255,240011,6.4
246800,240011,5.0
244287,240011,6.3
243773,240011,7.3
245174,240011,7.2
244290,240011,3.9
245639,240011,7.0
228884,240024,6.7
226467,240024,4.7
228476,240024,2.5
229037,240024,4.3
226717,240024,6.1
227520,240024,5.0
244708,240015,5.7
245811,240015,6.9
250824,240015,3.3
245344,240015,8.0
245731,240015,4.4
244785,240015,6.6
229830,240024,5.9
232677,240024,7.2
229520,240024,4.2
232636,240024,6.7
248338,240015,6.8
245378,240015,5.9
244725,240015,0.1
245812,240015,3.3
243136,240015,5.5
245591,240015,4.3
246132,240013,5.0
244106,240013,7.9
243773,240013,6.5
244596,240013,5.8
244892,240013,7.3
245853,240013,5.5
244236,240013,4.4
246718,240021,4.4
245878,240013,5.5
243737,240013,8.4
245084,240013,5.1
244077,240013,6.7
244074,240013,5.0
248562,240013,6.1
244049,240014,7.7
245316,240014,2.9
244888,240014,5.5
245372,240013,6.7
244495,240013,6.9
245843,240013,4.1
245213,240013,4.3
232965,240013,3.5
246396,240013,3.8
252422,240013,5.1
228229,240023,5.4
246007,240014,5.4
246236,240014,5.0
248426,240014,6.6
244457,240014,5.7
245369,240014,5.0
245402,240014,9.0
245639,240014,6.6
245777,240014,0.0
246767,240014,2.7
227132,240023,3.2
229926,240023,5.0
229447,240023,5.6
227326,240015,5.0
244848,240015,7.3
244106,240015,7.9
245121,240014,4.4
227746,240023,5.0
229830,240023,2.0
232772,240023,5.0
246587,240023,5.3
228530,240023,1.4
227121,240023,5.2
227791,240023,1.4
226980,240023,3.6
246098,240015,8.1
245847,240015,0.0
248339,240015,6.4
245648,240015,7.6
229121,240015,4.4
245086,240015,7.5
244848,240014,5.6
244596,240014,5.0
246123,240014,6.0
245950,240014,5.1
245084,240015,1.0
229148,240013,5.1
245638,240015,8.0
246416,240015,7.8
245181,240015,6.5
228432,240013,6.0
227182,240015,7.4
243436,240014,5.6
245314,240015,7.2
243993,240015,9.0
246343,240015,5.6
245373,240014,6.2
246343,240014,1.2
227129,240014,6.1
243241,240014,5.1
245208,240014,5.0
245322,240015,8.4
245401,240015,7.2
246657,240015,9.0
245516,240015,7.1
245240,240015,7.5
245777,240015,0.9
244495,240014,4.6
244535,240014,5.0
245763,240014,5.0
246899,240014,5.7
227994,240024,6.7
244279,240015,4.4
244208,240015,1.9
244457,240015,7.9
245410,240014,4.5
243988,240014,7.3
245932,240014,5.7
245307,240014,5.9
243929,240014,7.2
245176,240014,7.2
245607,240014,5.3
246095,240014,6.4
246267,240014,7.1
245737,240014,6.3
244626,240014,6.4
245407,240015,6.2
245929,240014,5.9
228021,240015,7.0
245621,240014,6.0
244090,240014,5.0
250977,240014,5.0
244364,240014,5.0
245554,240014,5.6
244113,240014,4.2
245640,240014,6.0
244844,240014,3.9
245229,240014,3.2
244151,240014,5.4
246312,240013,3.1
248338,240013,5.6
246057,240013,3.1
246034,240013,5.0
246132,240015,6.7
245445,240015,8.5
227320,240024,5.6
245553,240015,7.0
245853,240015,7.0
226687,240015,5.9
243759,240015,8.4
245150,240015,9.2
227838,240024,5.7
239893,240024,6.0
244738,240024,5.9
243182,240014,7.3
228718,240021,6.5
228476,240021,5.2
232679,240015,6.6
227725,240021,6.3
227457,240021,4.7
228372,240021,6.2
228695,240021,5.0
232343,240021,4.0
227738,240015,8.7
244149,240015,7.0
245440,240015,5.6
250031,240015,1.4
245665,240015,7.7
227953,240015,3.2
226431,240021,5.0
228006,240021,5.1
229698,240021,3.9
226687,240021,5.3
227746,240021,6.1
246587,240021,7.1
239829,240021,6.2
229972,240021,3.4
230008,240023,5.0
246514,240013,5.5
245677,240013,6.8
245322,240013,8.5
250255,240013,5.8
244985,240013,5.6
244663,240013,3.9
245648,240013,6.9
246199,240013,5.3
244208,240013,4.1
246236,240013,5.0
226543,240021,7.5
228436,240023,5.0
228459,240023,5.2
245563,240013,3.0
245017,240013,6.0
227284,240023,5.0
244117,240013,1.9
232677,240023,5.0
229146,240023,5.9
228958,240023,5.0
250259,240014,5.0
244077,240014,5.0
245440,240014,6.0
244074,240014,6.8
245601,240015,4.5
246104,240015,9.0
244262,240014,0.0
244149,240014,5.7
246396,240014,4.0
244891,240015,6.0
244129,240015,9.3
244455,240015,9.0
243988,240015,9.0
244971,240015,6.2
245443,240015,7.6
227609,240015,7.5
244002,240015,6.5
250824,240013,2.3
243899,240013,4.3
245344,240013,6.2
228383,240023,2.6
243865,240015,7.2
244340,240015,8.1
244483,240015,5.7
246733,240015,4.4
245307,240013,4.6
227452,240023,5.4
228884,240023,2.1
232343,240023,5.0
229180,240023,4.2
228488,240023,3.1
227057,240023,5.0
227303,240023,5.0
244626,240013,5.4
245406,240013,5.0
245811,240013,5.2
243721,240015,4.0
244705,240013,5.9
230008,240013,5.1
243985,240013,4.7
245929,240013,6.1
245796,240013,6.9
244095,240013,5.7
227787,240013,5.0
246391,240013,5.3
245563,240022,8.5
245447,240025,5.6
258916,240012,5.8
261734,240012,6.6
259914,240012,4.6
258865,240011,6.3
258665,240011,2.4
260528,240011,7.0
245843,240022,5.5
262084,240011,6.2
259916,240011,8.0
261106,240011,5.2
261774,240011,4.2
260192,240011,6.8
261696,240011,5.2
245777,240022,2.0
261499,240012,8.1
259309,240012,5.2
259899,240012,6.5
258366,240011,5.8
260178,240011,6.6
258960,240011,5.0
260265,240012,7.5
258846,240012,5.4
259062,240012,5.1
261563,240012,4.6
261161,240012,5.5
258927,240012,5.8
258605,240012,5.0
258750,240012,3.6
261782,240012,5.0
260600,240012,5.2
258438,240012,5.1
258260,240012,5.9
261141,240012,5.4
261795,240012,6.0
260755,240012,5.0
258885,240012,5.0
261627,240012,3.4
264334,240012,5.4
264489,240012,5.8
259196,240012,6.1
264455,240012,5.4
258855,240012,7.1
264979,240012,4.4
263065,240012,7.1
261773,240012,5.9
258824,240012,2.9
246156,240012,6.6
261527,240012,6.6
262080,240012,6.0
245561,240025,5.1
259148,240012,5.7
260382,240012,6.2
258490,240012,5.0
261345,240012,7.5
259337,240012,7.9
243681,240022,5.0
228049,240022,5.0
261231,240011,8.2
260721,240011,8.4
260807,240012,6.7
261281,240012,6.1
261729,240012,5.0
260988,240012,5.0
258320,240012,5.3
258957,240012,3.4
243959,240012,5.0
261169,240012,7.0
261789,240012,5.3
248927,240025,5.9
245603,240025,5.0
244060,240025,5.7
260879,240011,10.0
259341,240011,7.7
261166,240011,7.5
262945,240011,6.0
261789,240011,8.4
259155,240011,10.0
246057,240025,7.7
244141,240025,4.7
254670,240025,4.5
243777,240025,5.8
259414,240012,2.4
261014,240012,6.0
259251,240011,4.0
260455,240011,4.2
259700,240011,5.2
258642,240011,4.3
261795,240011,6.6
259652,240011,4.3
260660,240011,6.4
264800,240011,5.8
258295,240011,6.8
259951,240011,5.9
250393,240025,5.0
245113,240025,5.9
259430,240011,6.6
262016,240011,7.0
260033,240011,7.2
258957,240011,3.7
264805,240011,5.9
259480,240011,4.1
261708,240011,5.9
261337,240011,7.9
261591,240011,4.0
260382,240011,5.0
259117,240011,3.4
260460,240011,5.5
262874,240011,5.7
261961,240011,4.3
258318,240011,6.3
259826,240011,5.5
258855,240011,5.5
260016,240011,3.0
258713,240011,3.0
