CODEX,CODASS,NF,SELE
244339,240012.0,5.5,11.19
244339,240022.0,4.4,11.19
244339,240024.0,7.0,11.19
244339,240023.0,3.1,11.19
244339,240014.0,5.7,11.19
244339,240021.0,5.1,11.19
244339,240011.0,6.2,11.19
244339,240015.0,5.9,11.19
244339,240024.0,3.5,11.19
244339,240023.0,5.0,11.19
244339,240022.0,5.0,11.19
244339,240013.0,5.7,11.19
244339,240015.0,0.0,11.19
244339,240025.0,5.0,11.19
245218,240012.0,7.0,12.07
245218,240022.0,7.5,12.07
245218,240021.0,7.6,12.07
245218,240015.0,7.6,12.07
245218,240024.0,6.6,12.07
245218,240014.0,6.0,12.07
245218,240013.0,6.5,12.07
245218,240023.0,7.7,12.07
245218,240011.0,7.0,12.07
245218,240025.0,6.0,12.07
245516,240012.0,5.9,11.55
245516,240011.0,6.3,11.55
245516,240015.0,7.1,11.55
245516,240023.0,5.0,11.55
245516,240013.0,6.3,11.55
245516,240025.0,5.4,11.55
245516,240024.0,6.8,11.55
245516,240014.0,5.4,11.55
245516,240022.0,6.2,11.55
245516,240021.0,6.0,11.55
246370,240012.0,7.2,10.66
246370,240023.0,6.2,10.66
246370,240021.0,6.5,10.66
246370,240013.0,6.0,10.66
246370,240014.0,6.0,10.66
246370,240025.0,5.5,10.66
246370,240022.0,6.4,10.66
246370,240024.0,6.6,10.66
246370,240011.0,6.3,10.66
246370,240015.0,5.2,10.66
246767,240012.0,5.0,10.64
246767,240014.0,2.7,10.64
246767,240014.0,5.2,10.64
246767,240024.0,5.0,10.64
246767,240023.0,5.0,10.64
246767,240014.0,3.2,10.64
246767,240022.0,5.0,10.64
246767,240011.0,5.0,10.64
246767,240025.0,3.9,10.64
246767,240024.0,0.0,10.64
246767,240013.0,5.2,10.64
246767,240015.0,5.4,10.64
246767,240025.0,5.7,10.64
246767,240021.0,5.9,10.64
243050,240012.0,7.2,11.73
243050,240021.0,8.0,11.73
243050,240014.0,3.6,11.73
243050,240025.0,8.0,11.73
243050,240015.0,8.3,11.73
243050,240014.0,8.4,11.73
243050,240011.0,6.2,11.73
243050,240013.0,6.0,11.73
243050,240022.0,7.1,11.73
243050,240024.0,7.6,11.73
243050,240023.0,7.7,11.73
