CODEX,SELE
274511,12.99
275156,13.02
259794,12.65
262031,10.74
261879,11.7
258115,10.35
245132,10.78
261150,10.98
276949,11.35
243205,12.66
246265,12.65
245113,10.46
245086,11.22
246123,11.27
246132,11.89
245603,9.73
245605,12.67
245450,10.94
245986,11.69
246057,10.36
245332,12.52
245393,9.88
245401,11.15
245404,11.16
245407,10.13
249951,9.61
245314,11.87
246416,11.26
245568,9.87
245176,12.35
245674,10.94
244060,12.13
244848,11.39
243979,10.89
244049,11.6
244050,9.85
244455,11.5
244456,10.97
244886,10.22
244843,10.45
244391,10.56
243702,10.62
244300,10.93
243556,12.03
244329,12.25
244226,10.04
243766,10.66
258233,12.55
248645,10.7
246908,11.94
247077,10.63
251035,10.91
250869,10.73
250895,11.79
259924,11.53
252402,9.57
260836,12.54
258290,10.83
252421,9.59
258256,11.31
258260,11.08
258162,11.68
254672,9.51
258620,12.63
259015,11.75
260099,12.82
258784,10.85
259232,11.78
259480,10.89
259485,10.88
263243,10.51
259082,11.46
260427,10.69
258446,11.96
264437,10.38
259337,12.78
259342,12.14
258438,11.33
258836,10.56
258846,11.12
259528,12.68
259470,11.28
260289,10.66
260334,11.05
259904,11.34
260269,11.27
259602,10.87
259357,10.9
260697,11.4
260988,12.4
259479,11.27
260689,11.26
260153,11.23
261058,11.48
254785,9.43
254796,9.39
261446,12.17
264669,11.38
261872,10.62
261332,11.49
261782,11.99
261106,11.89
261773,12.03
264150,12.14
261509,11.66
261708,12.92
262102,12.65
262803,11.74
261740,10.8
264411,10.51
261747,11.0
261161,12.05
262874,10.54
261563,11.15
261961,10.48
262844,10.49
262851,11.11
264110,10.53
264805,10.77
264918,12.03
275107,12.94
276867,10.5
276167,11.6
276999,10.44
276847,12.98
276613,12.95
274825,10.22
277075,11.1
277345,10.83
275904,10.0
276407,11.61
276898,10.85
275979,9.99
277021,11.2
276292,10.62
273970,10.47
277465,11.13
273905,13.42
276951,11.02
277510,10.98
276710,10.49
276687,10.99
276462,12.58
278214,11.56
278256,10.64
274778,10.77
276021,10.8
276033,10.66
280248,9.87
278275,10.65
275603,11.58
275604,10.12
274519,12.06
281291,9.76
278287,12.95
275945,11.33
289087,10.92
289094,10.36
289047,10.01
289172,11.42
289222,13.33
289229,10.27
289234,10.4
289068,11.48
289076,10.44
288975,9.53
288978,13.21
288985,11.18
288988,9.68
289111,11.1
289213,9.58
289112,11.32
289124,9.8
289133,10.0
289060,12.13
279502,10.7
278064,13.3
277658,10.69
278054,11.43
277691,12.32
277700,10.45
289284,10.97
289286,12.77
289413,9.91
289257,14.0
289387,12.87
289404,12.65
289417,10.42
289280,10.45
289315,10.72
289322,11.14
289323,11.52
289325,11.09
289016,11.01
288993,10.78
289005,12.28
289153,12.33
289332,11.04
289334,11.37
289250,10.83
289351,11.07
289369,11.58
289371,10.73
289379,10.8
292908,12.14
294150,11.69
294143,9.59
304335,11.96
304341,10.59
304344,10.89
304345,9.77
304364,10.7
304351,12.84
304275,9.9
304280,11.08
304282,10.33
304283,9.74
304322,10.0
303969,11.54
304357,9.7
304330,11.93
304389,11.53
303993,9.67
304003,12.66
304011,11.61
304223,11.69
304058,12.82
304065,10.46
304095,11.44
304408,11.58
304152,11.5
304014,12.94
303962,11.23
304086,11.07
304087,11.68
304204,10.47
304048,11.15
304362,10.31
304384,12.71
304299,10.65
292911,13.07
292929,12.82
304318,12.96
304321,11.86
308046,12.22
304156,12.28
304158,10.66
304106,12.45
304110,10.69
304116,11.09
304120,12.43
304260,12.39
304262,11.29
304264,11.18
304268,12.65
304170,11.37
304179,9.93
304181,9.94
304188,10.58
304189,10.62
309142,9.75
309148,10.05
309131,10.56
309132,11.02
309138,10.63
327669,9.82
304196,10.95
337108,10.71
337362,11.11
337379,11.55
337337,9.55
337338,12.14
337266,10.07
337161,9.97
337163,10.8
337342,10.15
337345,10.83
337348,11.05
337349,12.2
337155,10.43
337319,11.66
337323,10.4
337111,10.3
337114,9.73
337268,11.32
337281,9.87
337283,9.97
337328,11.88
337334,12.37
337300,10.88
337301,10.73
337303,11.18
337311,12.21
337312,13.34
337103,10.85
337486,9.53
337494,12.82
337502,9.21
337506,12.05
337135,11.45
337137,9.7
322143,13.09
322144,11.45
322156,10.24
322043,12.54
322140,13.03
343517,8.78
